X,Y,id_0,id,FacilityID,Full_Name,Reg_Rd_No,L_LADD,L_HADD,R_LADD,R_HADD,Left_Mun,Right_Mun,Status,Owner,Managed_By,LifeCycle,vertex_index,vertex_part,vertex_part_index,distance,angle,icon_url,auxiliary_storage_labeling_labelrotation
-79.2312955766403,43.0124756976286,"40","8","23208",Woodlawn Road,"41","0","0","0","0",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"10","0","10",221.014098503822,252.057606855213,./0.png,
-79.2451158446559,42.9915229429981,"142","28","23247",Division Street,"527","16","90","15","93",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"2","0","2",179.570154167701,75.262230591684,./0.png,
-79.0419653607844,42.9637282720318,"162","29","23568",Netherby Road,"25","2903","3351","3182","3350",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"18","0","18",818.71752318916,268.725137279558,./0.png,
-79.1842931006138,42.9747350819029,"216","41","22425",Doans Ridge Road,"84","254","490","253","489",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"8","0","8",1041.00969515516,178.343397203178,./0.png,
-79.2768998729889,43.0129068486699,"244","51","00613",Woodlawn Road,"41","445","445","390","406",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"1","0","1",285.460496791988,267.906694522615,./0.png,
-79.1842931006138,42.9747350819029,"275","59","22424",Doans Ridge Road,"84","506","676","505","675",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,178.275665806915,./0.png,
-79.2701101245076,43.0042652502937,"394","84","02228",Rice Road,"54","1","13","2","14",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"3","0","3",58.8126495484545,353.609770548988,./0.png,
-79.2322863977766,42.9934919590697,"399","86","00117",East Main Street,"27","700","798","701","799",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"1","0","1",85.7784869999915,88.6880306573547,./0.png,
-78.9187351335389,42.9129796317402,"447","95","15927",Central Avenue,"124","81","161","72","146",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"8","0","8",318.767283125611,356.834770394797,./0.png,
-79.181170666004,42.9628435814361,"525","123","25814",Doans Ridge Road,"25","722","752","721","751",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"1","0","1",48.8971705212573,297.392892500414,./0.png,
-79.1940221223483,42.9595799108619,"612","129","22441",Townline Tunnel Road,"525","0","0","0","0",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"4","0","4",875.673445049736,91.0555571796262,./0.png,
-79.1843283986479,43.0221858532886,"616","131","22819",Moyer Road,"84","643","999","644","1000",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,358.297709970588,./0.png,
-79.2664529986573,42.9623320854808,"620","132","23035",Humberstone Road,"33","235","257","270","270",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"1","0","1",116.445704300633,269.560452085284,./0.png,
-79.1843283986479,43.0221858532886,"649","140","22820",Moyer Road,"84","447","641","446","642",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"1","0","1",1064.5733621774,357.931985971461,./0.png,
